a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	39	88	3807	12494	0.971082	0.000000	0.000000	0.028843	0.000000	0.000075	0.000000	0.000000	0.000000	0.000000	0.000076	0.028843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014459	-0.014384	-18709.285883	94	-1	0.907203	4.218086e-01,1.710618e-01,3.089948e-02,1.894499e-01,9.810104e-02,2.596826e-02,3.057857e-02,2.342485e-02,8.707413e-03	0.626681	0.208113	-0.041008	-20703.412692	10
0	40	88	4494	13359	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000012	0.000011	-19273.401161	74	-19273.404521	0.970012	4.171670e-01,1.901831e-01,1.803263e-02,1.776814e-01,1.214639e-01,1.401425e-02,3.064260e-02,2.822939e-02,2.585678e-03	0.400738	0.264752	0.036925	-21518.047122	10
0	41	88	4705	12649	0.857594	0.113349	0.019422	0.000000	0.000000	0.000000	0.009635	0.000000	0.000000	0.083323	0.009636	0.000000	0.042866	0.004818	0.000000	0.019422	0.000000	0.019422	0.085732	0.000000	-17898.927967	122	-1	0.918458	4.505383e-01,1.610709e-01,1.241304e-02,1.585267e-01,1.406131e-01,1.542147e-02,1.845588e-02,3.639000e-02,6.570535e-03	0.219531	0.349542	0.120857	-19998.971228	10
0	42	88	4716	13335	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000013	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000013	0.000006	-19227.505736	82	-19227.509690	0.968269	4.330688e-01,1.722382e-01,1.946447e-02,1.735123e-01,1.191797e-01,2.142414e-02,2.603661e-02,2.938925e-02,5.686593e-03	0.381786	0.269598	0.044379	-21620.737191	10
0	43	88	4717	12707	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000004	-18338.735974	86	-18338.737192	0.922669	4.137709e-01,1.938516e-01,1.597842e-02,1.775711e-01,1.208899e-01,1.714342e-02,2.755796e-02,2.798102e-02,5.255762e-03	0.360133	0.262756	0.051368	-20585.894029	10
0	44	88	5213	12576	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000034	0.000034	-18353.467494	86	-18353.471348	0.913157	4.134934e-01,1.906331e-01,2.180480e-02,1.776973e-01,1.154017e-01,1.883234e-02,3.198795e-02,2.538681e-02,4.762613e-03	0.466135	0.247461	0.012149	-20567.624705	10
0	45	88	5229	13399	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000008	-19101.483469	90	-19101.485486	0.972916	4.353942e-01,1.632713e-01,2.580750e-02,1.861969e-01,1.086750e-01,1.917393e-02,3.291900e-02,2.365338e-02,4.908776e-03	0.540386	0.240953	-0.014399	-21708.166476	10
0	46	88	5400	12864	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000057	0.000001	0.000001	0.000001	0.000001	0.000000	0.000001	0.000001	0.000029	0.000028	-18775.874802	78	-18775.882677	0.934069	4.261344e-01,1.717208e-01,2.709559e-02,1.811802e-01,1.124505e-01,2.045199e-02,3.255509e-02,2.241735e-02,5.994149e-03	0.530462	0.246916	-0.011038	-21051.602650	10
0	47	88	5437	13169	0.920682	0.055221	0.024023	0.000000	0.000000	0.000074	0.000001	0.000000	0.000000	0.051634	0.000074	0.000000	0.025817	0.000000	0.000000	0.024023	0.000000	0.024023	0.051671	0.000037	-19245.267257	78	-1	0.956216	4.278272e-01,1.845240e-01,1.317485e-02,1.541810e-01,1.379717e-01,2.069082e-02,2.303222e-02,3.170036e-02,6.897765e-03	0.262424	0.322889	0.098281	-21298.318226	10
0	48	88	5649	13184	0.941312	0.000000	0.000000	0.057678	0.000000	0.000001	0.000000	0.001009	0.000000	0.000000	0.001010	0.058687	0.000000	0.000000	0.000000	0.001009	0.000000	0.001009	0.029848	-0.028839	-19708.846663	62	-1	0.957305	4.316944e-01,1.581656e-01,3.463616e-02,1.816817e-01,1.028963e-01,2.922644e-02,2.978447e-02,2.349403e-02,8.420939e-03	0.626073	0.225162	-0.043360	-21893.537641	10
